index,premise,hypothesis,original_index
2800,A man in a lab coat wearing glasses and looking at a computer monitor.,Nobody is wearing glasses,8387
2801,A man in a home kitchen is flipping a pancake extremely high.,A man is cooking hot dogs.,8390
2802,"A group of adults and children in scout uniforms, some carrying English flags, gathers at a public event.",The people are holding American flags,8396
2803,"A man wearing a dark suit and a red tie walks in front of a large, white, circular building and across a large set of concrete curved stairs.",A man in a dark suit runs toward the taxi in front of the white building.,8401
2804,A disinterested young woman and an older man stand by a bar.,A woman is captivated by a man's advances.,8404
2805,A parade of women in blue costumes walk down the street.,The women are wearing spider costumes.,8405
2806,The white dog is running in the green grass.,A dog is sitting on the carpet.,8407
2807,"A man wearing a green cap, green shirt and khaki pants is cooking over a fire in the forest",man is shooting,8415
2808,Two kids hiding in the tall grass.,Two kids playing at the beach.,8416
2809,"At a martial arts demonstration, a few men in white uniforms stand atop one another, doing stunts.",The men are meditating on the ground.,8417
2810,A man is lying in the grass.,The man sleeping on a bench.,8421
2811,the puppy is carrying a ball in its mouth.,The dog is sleeping on the ball.,8424
2812,"Children standing, watching, and listening to a musician outside.",A musician is watching children sit.,8425
2813,Two people are outside walking on their way to school.,A man helps a cow give birth.,8429
2814,Woman getting her hair styled and cut.,Woman is getting her makeup done.,8434
2815,An operator in a gold hard hat and orange vest sits hunched over on a large piece of John Deere equipment.,The woman takes cookies out of the oven.,8437
2816,An Asian woman is in a rice paddy with packing boxes.,A man is  standing alone in a rice paddy.,8439
2817,A baseball player in white swings for the ball as the player in brown is waiting to intercept.,There is a clown in red.,8449
2818,A woman with sandals and green shirt carries supplies down the street.,A woman is shopping.,8451
2819,Four men are walking up a trail.,A group of women swim in the nearby lake.,8454
2820,Onlookers observe a man in a black t-shirt standing on the outside of a levee.,A man in a white shirt sits on a levee.,8456
2821,"Three women, smoking cigarettes and playing cards, drinking at a bar.",Three women's mouths are empty.,8463
2822,A woman stands in a sewing room.,The woman is outside.,8465
2823,The nurse is all dressed in white walking on a street.,A nurse is sitting outside eating lunch.,8470
2824,A group of Asian people shading their eyes and looking past the camera at something.,A group of Asians are looking down at the ground.,8475
2825,A person skiing down a hill.,A puppy is sitting.,8477
2826,"In front of a decorated Christmas tree, four adults and two children sit or stand amongst gifts, and one of the adults gives a child a drink of water.",The room the adults and children are in is bare of any decoration.,8479
2827,A latina woman holds a blue sno-cone while standing behind various flavor-syrup pumps.,A woman is eating popcorn.,8487
2828,A girl swings on a rope swing.,The girl is on a tire swing.,8493
2829,mechanics preparing a plane for departure.,The people are working on a train.,8498
2830,A smiling boy in an orange shirt and yellow shorts is standing in a dilapidated classroom with desks.,The boy in orange is sitting at a desk.,8499
2831,A little boy with a messy face sitting on a colorful blanket.,The little boy is standing on the blanket.,8504
2832,A man in a white shirt is playing tennis.,A man is scoring a touchdown.,8507
2833,A woman in a kimono with a white umbrella stands near a second person.,One person is wearing a bathing suit while another is wearing a tuxedo.,8508
2834,"Outdoor area crowded with jeeps packed with people, seen from behind.",The vehicles are trucks,8512
2835,Two little dogs run in the field.,Two cats walk in the field.,8515
2836,A group of people having their picture taken.,People ride a roller coaster at Disneyland.,8517
2837,A woman and two children watch through the window as workers put tree branches into a wood chipper.,The woman is sitting next to three children,8522
2838,"Two men are sitting at a table in a restaurant, one smoking and one reading a newspaper.",There are men standing outdoors,8526
2839,A person on a BMX bike is riding on an outdoor course.,A person on a dragon is burning down a village.,8527
2840,A person on a red street bikes rides through the parking lot.,A person is running through the parking lot.,8528
2841,Man with gray shirt with a white name badge.,The man is a complete hermit.,8532
2842,Two men of hispanic descent are working at the wood boards.,Two men are sleeping on the job.,8533
2843,An older person and a small boy play in the sand near the water.,The older person and the boy are at home playing games.,8536
2844,A man in a white shirt is working on a laptop while another man in a black shirt points to something on the screen with a pen.,There is only one person present.,8537
2845,A medium sized dog is jumping to get a stick.,The cat is about to get the stick,8538
2846,A group of children are petting a white dog on the grass.,a group of men run through the grass.,8543
2847,"A girl red and white striped, one-sleeved outfit stands with her arms raised in the air.",The boy is wearing black.,8555
2848,A young child in blue jeans and navy blue shirt rides a bike with training wheels.,A teenager does trick bike riding on a kids bike.,8560
2849,"A group of nine people viewing a city, from an observation point, while some take pictures.",The nine people are camping in the woods.,8562
2850,In the distance is two roadways with a median of trees and scooters.,The road is not joining.,8568
2851,Kids jump in a bouncy castle.,Kids build a sand castle.,8581
2852,A group of people standing on a hillside decorated with yellow flowers as fog rolls over a nearby mountainside.,People are swimming in a river.,8587
2853,A bike racer following the racing trail uphill.,A toddler is riding a tricycle in his driveway.,8589
2854,The children are playing on the trampoline.,Children are writing at the desks in a classroom.,8590
2855,A skateboarder does a trick off a brown ramp while three other people watch.,A kid is bouncing a ball at the park.,8591
2856,"A young boy slides down a blue slide with his eyes closed while a woman with sunglasses watches, smiling.",A young boy plays on the monkey bars on the jungle gym.,8596
2857,A man is selecting tomatoes from a bin.,The woman is making a cake.,8599
2858,A band is performing on stage.,A band is playing football.,8603
2859,A man is describing stuff using chalk on a chalkboard.,The man is stuck in his car.,8605
2860,A tall gray pole behind which a person wearing an orange shirt is perched on the wall and hiding his or her face with one hand.,a gray pole falls on an orange shirted person,8607
2861,Four children are playing in the sand near the water's edge.,Four children are inside playing video games.,8609
